id                                  ,code,label_de                                                                                              ,label_fr                                                                                                     ,label_it                                                                                                  ,label_en
a33f5bcc-5cbd-4af3-834b-0bd1d577b6da,111 ,Berufe der Landwirtschaft                                                                             ,Professions de l'agriculture                                                                                 ,Professioni dell'agricoltura                                                                              ,
2088fcc0-50e1-4215-bff6-2bb6ba32e325,112 ,Landwirtschaftliche Spezialberufe                                                                     ,Professions spéciales dans le secteur de l'agriculture                                                       ,Professioni specializzate dell'agricoltura                                                                ,
118eaf64-4482-4bdb-86b4-299a8bc9416b,113 ,Tierzüchter/innen und verwandte Berufe                                                                ,Eleveurs et professions apparentées                                                                          ,Allevatori d'animali e professioni assimilate                                                             ,
1702aa83-b89d-4487-a6f8-32fb9156bc3b,114 ,Gärtner/innen und verwandte Berufe                                                                    ,Professions de l'horticulture et professions apparentées                                                     ,Giardinieri e professioni assimilate                                                                      ,
96afd4b8-be5b-4f3e-b02b-cc4ca3aff015,115 ,"Berufe der Forstwirtschaft, Jagd und Fischerei"                                                      ,"Professions de la sylviculture, de la chasse et de la pêche"                                                ,"Professioni della selvicoltura, della caccia e della pesca"                                              ,
24a6469a-8570-4783-ba6f-76833c817126,211 ,Berufe der Lebensmittelherstellung und -verarbeitung                                                  ,Professions de l'industrie alimentaire                                                                       ,Professioni dell'industria alimentare                                                                     ,
017a9762-4475-4cb8-9834-cadb76458886,212 ,Berufe der Getränkeherstellung und -verarbeitung                                                      ,Professions de la production de boissons                                                                     ,Professioni della produzione e della lavorazione di bevande                                               ,
a41e48d1-b19c-442e-9af6-82eaf32ffb41,213 ,"Berufe der Tabakwarenherstellung und -verarbeitung, der Degustation und verwandte Berufe"            ,"Professions de l'industrie du tabac, dégustateurs et professions apparentées"                               ,"Professioni della produzione e lavorazione del tabacco, degustatori e assimilati"                        ,
f4d634ba-0d54-434c-a5b0-431c657c5fff,221 ,Berufe der Textilherstellung                                                                          ,Professions de l'industrie textile                                                                           ,Professioni della fabbricazione dei tessili                                                               ,
581ae2c3-424d-42c0-a6c5-e5f2a9455864,222 ,Berufe der Textilverarbeitung                                                                         ,Professions de l'habillement                                                                                 ,Professioni della lavorazione dei tessili                                                                 ,
1802eae6-7681-4bef-945a-97e6ce422adc,223 ,"Berufe der Lederherstellung, Leder- und Fellverarbeitung"                                            ,Professions de la fabrication et du traitement des cuirs et des peaux                                        ,"Professioni della fabbricazione del cuoio, della lavorazione del cuoio e della pelle"                    ,
b4ea777b-2771-4a76-b88d-d915ce548c73,231 ,Berufe der Keramik- und Glasverarbeitung                                                              ,Professions du travail de la céramique et du verre                                                           ,Professioni della lavorazione della ceramica e del vetro                                                  ,
4f176281-93fb-45e8-977d-b6096cd9fe73,241 ,Berufe der Metallerzeugung                                                                            ,Professions de la production de métaux                                                                       ,Professioni della produzione dei metalli                                                                  ,
8a9c8e73-5429-463d-a67d-5cb8bdda1f1c,242 ,"Berufe der Metallbearbeitung, -verformung, -veredelung sowie -härtung"                               ,"Professions de la seconde transformation, du traitement et du revêtement des métaux"                        ,"Professioni relative alla lavorazione, alla trasformazione, al trattamento e al rivestimento dei metalli",
495c189f-b719-4094-a1c9-1d2f1dff92a9,243 ,Berufe des Metallbaus sowie der Metallverbindung                                                      ,Professions de la construction métallique et de l'assemblage de métaux                                       ,Professioni relative all'industria metallurgica                                                           ,
a7475318-5c76-4048-ab53-045f1eae2272,244 ,Berufe des Maschinenbaus sowie -unterhalts                                                            ,Professions de la construction et de l'entretien de machines                                                 ,Professioni della costruzione e della manutenzione di macchine                                            ,
517a8fe2-65fb-4abd-8766-6c1052909516,251 ,Berufe der Elektrotechnik und Elektronik                                                              ,Professions de l'électrotechnique et de l'électronique                                                       ,Professioni dell'elettrotecnica e dell'elettronica                                                        ,
8a8663d3-e596-4da5-b40c-a4327eb76efa,252 ,Berufe der Uhrenindustrie                                                                             ,Professions de l'industrie horlogère                                                                         ,Professioni dell'industria orologiera                                                                     ,
e6120282-5603-4185-90fb-6695a1e0db75,253 ,Berufe des Fahrzeug- und Gerätebaus und -unterhalts                                                   ,Professions de la construction et de l'entretien de véhicules et de l'outillage                              ,Professioni della costruzione e manutenzione di veicoli e apparecchi                                      ,
5924ffbd-bd8d-4562-8edd-3e9ccf9592d8,261 ,Berufe der Holzverarbeitung                                                                           ,Professions de l'industrie du bois                                                                           ,Professioni della lavorazione del legno                                                                   ,
d7052858-11f3-445a-95db-4ef413a3508c,262 ,Berufe der Holzoberflächenveredelung                                                                  ,Professions de l'affinage de la surface du bois                                                              ,Professioni del trattamento della superficie del legno                                                    ,
b4cfdaae-050a-4245-b163-f95cb8d9ade7,263 ,Berufe der Papierherstellung sowie -verarbeitung                                                      ,Professions de la fabrication et du traitement du papier                                                     ,Professioni della fabbricazione e lavorazione della carta                                                 ,
40e05069-1db2-425d-a5af-5da4e203db7b,271 ,Berufe der Druckvorbereitung                                                                          ,Professions de la préparation à l'impression                                                                 ,Professioni della preparazione alla stampa                                                                ,
97ecd694-b41e-4f7b-afab-5597f26150d0,272 ,Drucker/innen und Vervielfältiger/innen                                                               ,Imprimeurs et professions de la reproduction                                                                 ,Stampatori e poligrafici                                                                                  ,
ce8bd626-8241-4b53-a5e8-378463fae11d,273 ,Buchbinder/innen                                                                                      ,Relieurs                                                                                                     ,Legatori                                                                                                  ,
ecc22067-8c92-40e9-8a3c-c2d43bd7f75f,281 ,Berufe der Chemieverfahren                                                                            ,Professions de l'industrie chimique                                                                          ,Professioni della lavorazione chimica                                                                     ,
999a3f4e-f747-48fb-80df-aeb68584235f,282 ,Berufe der Kunststoffherstellung und -verarbeitung sowie der Gummibearbeitung                         ,Professions de l'industrie des matières plastiques                                                           ,Professioni della fabbricazione e lavorazione di materie sintetiche e della lavorazione della gomma       ,
08ada35b-59f1-4ca8-9eee-d4b06aff1406,291 ,Übrige be- und verarbeitende Berufe                                                                   ,Autres professions du façonnage et de la manufacture                                                         ,Altre professioni del settore industriale                                                                 ,
74b8a247-390b-4ec0-ad50-76bcf8167558,311 ,Ingenieurberufe                                                                                       ,Ingénieurs                                                                                                   ,Ingegneri                                                                                                 ,
f57ff319-879a-438b-89e2-1d4761181787,321 ,Techniker/innen                                                                                       ,Techniciens                                                                                                  ,Tecnici                                                                                                   ,
2f5ba77c-1a12-46ca-ba22-93fc6f005cf6,331 ,Technische Zeichnerberufe                                                                             ,Professions du dessin technique                                                                              ,Disegnatori tecnici                                                                                       ,
ea8d27b4-2bef-4072-8c70-9c35b8cc6525,341 ,Technische Fachkräfte                                                                                 ,Personnel technique                                                                                          ,Personale tecnico                                                                                         ,
2795dffd-b6f2-4709-a850-1fdae4940ded,351 ,Maschinisten/Maschinistinnen                                                                          ,Machinistes                                                                                                  ,Macchinisti                                                                                               ,
cfeb960e-cf74-45f3-9213-445e03ec1b04,361 ,Berufe der Informatik                                                                                 ,Professions de l'informatique                                                                                ,Professioni dell'informatica                                                                              ,
1189e924-d1b5-41d2-af33-780d5ee2e128,411 ,Berufe des Bauhauptgewerbes                                                                           ,Professions de l'industrie du bâtiment                                                                       ,Professioni dell'edilizia principale                                                                      ,
b8c9730f-1fac-425a-b10b-92b772433361,412 ,Berufe des Ausbaugewerbes                                                                             ,Professions de l'aménagement et du parachèvement                                                             ,Professioni dell'edilizia accessoria                                                                      ,
5f5a08cc-cb65-4895-8764-be43bcffa99e,421 ,Berufe der Förderung von Bodenschätzen                                                                ,Professions de l'extraction des produits du sous-sol                                                         ,Professioni delle industrie estrattive                                                                    ,
9de72d18-261c-41c2-bf88-33bca7286b0c,422 ,Berufe der Steinbearbeitung                                                                           ,Professions du travail de la pierre                                                                          ,Professioni della lavorazione della pietra                                                                ,
92edd92a-72ca-43a2-b07b-1fdb39a9a7b8,423 ,Berufe der Baustoff- und Bausteinherstellung                                                          ,Professions de la fabrication de matériaux de construction et de pierres à bâtir                             ,Professioni della produzione del materiale da costruzione e delle pietre da costruzione                   ,
38af0d00-3b2f-44e1-b0be-197ac27743d8,511 ,Berufe des Handels und des Verkaufs                                                                   ,Professions de l'achat et de la vente                                                                        ,Professioni della compravendita                                                                           ,
0a7cb4ab-caa0-49c7-83d4-dc5dc83aad74,521 ,Berufe der Werbung und des Marketings                                                                 ,Professions de la publicité et du marketing                                                                  ,Professioni della pubblicità e del marketing                                                              ,
