ID                                  ,CODE ,EMAIL                              ,PHONE             ,FAX
6ff2b62a-3e2d-4ab9-841d-c3cee08fb65a,SGA10,info.vdawa@sg.ch                   ,+41 58 229 35 47  ,+41 58 229 22 03
55cd1066-1e9b-4708-90ac-f0dc1bf11fe3,SGA20,info.vdawa@sg.ch                   ,+41 58 229 47 61  ,+41 58 229 47 75
8c0a8f16-55b6-4745-9f1e-ed3968d92af6,SGB10,info.ravstg@sg.ch                  ,+41 58 229 25 35  ,
456d9800-7385-4751-bf5d-2454c67fd9a1,SGO10,info.ravobu@sg.ch                  ,+41 58 229 93 93  ,+41 58 229 93 83
687983e2-5e53-4c93-ac71-12181fc33f5a,SGP10,info.ravsar@sg.ch                  ,+41 58 229 82 68  ,+41 43 888 17 79
fc0ed4ed-3c81-4ea0-8218-4e3502ac36af,SGQ10,info.ravher@sg.ch                  ,+41 58 229 97 77  ,+41 58 229 97 67
ae098b2e-b0cb-4a87-80c4-b75ba031b835,SGR10,info.ravrap@sg.ch                  ,+41 58 229 76 56  ,
107bbc24-2a48-4c86-84f7-d04b26e1d134,SGT10,info.ravwat@sg.ch                  ,+41 58 229 91 71  ,+41 58 229 91 81
c46be4b8-49bf-4e23-91ef-43202d644ae9,SHA10,arbeitsamt@ktsh.ch                 ,+41 52 632 72 62  ,+41 52 632 77 23
b4ad1a6a-35a7-4c9a-84b7-3ed42f96dbfc,SHA20,rav@ktsh.ch                        ,+41 52 632 70 24  ,+41 52 632 70 23
afe48545-0197-4390-b30f-52efbfd0e774,SHA30,lam@ktsh.ch                        ,+41 52 632 74 69  ,+41 52 632 77 23
b6f39918-1e2c-40b6-8f73-6ed9ed499f25,SHA40,kast@ktsh.ch                       ,+41 52 632 78 39  ,+41 52 632 77 23
10290044-7c87-476e-8618-240e9f6cf660,SOAA0,rav.olten@awa.so.ch                ,+41 62 311 29 60  ,+41 62 311 29 50
050040c0-5453-4470-b93f-a5a444280778,SOAB0,rav.solothurn@awa.so.ch            ,+41 32 627 96 11  ,+41 32 627 96 00
0570bab9-904a-43a1-b08a-88f152136397,SOAH0,                                   ,+41 62 287 33 39  ,+41 62 287 33 34
