id,code,email,phone,fax
38059975-1bab-4781-ae24-650942e392e1,SGB10,info.ravstg@sg.ch,+41 58 229 25 35,
4618a0e0-4ef4-4a5f-9685-f861e0f3dc1a,SGO10,info.ravobu@sg.ch,+41 58 229 93 93,+41 58 229 93 83
489733db-a5ac-47ce-b63d-e378e07d9500,SGP10,info.ravsar@sg.ch,+41 58 229 82 68,+41 43 888 17 79
a8aedb7e-8871-40b2-b8b4-6d65cc8dbc3e,SGQ10,info.ravher@sg.ch,+41 58 229 97 77,+41 58 229 97 67
608f3214-9de8-4158-9b37-4f0cc76ebf8c,SGR10,info.ravrap@sg.ch,+41 58 229 76 56,
93252d45-3f9e-4dd1-8633-ebe8f8e3037b,SGT10,info.ravwat@sg.ch,+41 58 229 91 71,+41 58 229 91 81
232bb685-84fc-4009-969e-83258633bd98,SHA20,rav@ktsh.ch,+41 52 632 70 24,+41 52 632 70 23
29c47a54-e04b-4467-be3a-434e04884f3d,SOA30,rav.solothurn@awa.so.ch,+41 32 627 96 11,+41 32 627 96 00
56a5318a-3148-4a30-9017-bd4c26f80569,SOA40,rav.olten@awa.so.ch,+41 62 311 92 00,+41 62 311 92 10
ed70e6ad-6676-461b-be83-b6d7afc57478,SOA90,rav.plus@awa.so.ch,+41 32 627 85 61,+41 32 627 85 51
b9b70e89-45e3-47f8-9de3-48a1762244dc,SZA20,ravgoldau.vd@sz.ch,+4141 859 09 19,+4141 859 09 29
8fe45b96-d43b-4317-9388-fb73e2a4d2b9,SZA30,ravlachen.vd@sz.ch,+4155 451 60 20,+4155 451 60 30
94cbc9fb-4984-442c-8e7d-f8b9681e31c1,TGO10,rav.frauenfeld@tg.ch,+41 58 345 55 20,+41 58 345 55 21
272a57df-bd44-4c7b-88a7-fde80f882117,TGP10,rav.kreuzlingen@tg.ch,+41 58 345 55 80,+41 58 345 55 81
728b4286-a7c0-4f40-b43f-49a919f8c0bd,TGQ10,rav.amriswil@tg.ch,+41 58 345 17 45,+41 58 345 17 46
db899c23-11c2-4f2e-aede-465d0c68c8fc,URA20,peter.marent@ur.ch,041 875 24 39,041 875 24 37
655d0f45-0856-4687-9b30-a01cc899327f,VSP10,ravoberwallis@admin.vs.ch,+41 27 606 94 50,+41 27 606 94 54
a2ca6966-f012-4d94-9713-8931b2f4820b,ZGA40,info@rav.zg.ch,+41 41 728 25 88,+41 41 728 25 99
fed2b215-4560-43d9-ac8c-95075e731591,ZHAA0,hotline.ravopfikon@vd.zh.ch,+41 43 259 64 20,+41 43 259 64 58
f01f43d3-5512-4e96-97e0-02e2403c403d,ZHAC0,hotline.ravwinterthur@vd.zh.ch,+41 43 259 67 00,+41 43 259 67 01
c0425e24-6c04-4873-a34e-c21a91e7ca7d,ZHAE0,hotline.ravfehraltorf@vd.zh.ch,+41 43 259 66 66,+41 43 259 66 99
334bf9b2-f2dd-4965-9979-4ddd7d993365,ZHAF0,hotline.ravuster@vd.zh.ch,+41 43 258 43 43,+41 43 258 43 44
e140f0a7-f0ef-4830-8b73-08b113d37df6,ZHAG0,hotline.ravrueti@vd.zh.ch,+41 43 259 62 00,+41 43 259 62 01
6f73c60a-fcc9-40b2-8539-d7c0344bc577,ZHAH0,hotline.ravbuelach@vd.zh.ch,+41 43 259 63 00,+41 43 259 63 01
464cb703-221b-488d-8c83-5ee52f99fe1c,ZHAI0,hotline.ravmeilen@vd.zh.ch,+41 43 259 65 00,+41 43 259 65 01
1049ca53-ea13-4442-b8fa-97e88d2821e1,ZHAJ0,hotline.ravthalwil@vd.zh.ch,+41 43 258 43 60,+41 43 258 43 61
5e647557-f639-4e77-a816-28709043c378,ZHAL0,hotline.ravdietikon@vd.zh.ch,+41 43 258 44 44,+41 43 258 44 45
450ac3a0-c610-42c1-a2d4-29b592a61d48,ZHAM0,hotline.ravregensdorf@vd.zh.ch,+41 43 259 62 62,+41 43 259 62 82
