id,code,classification_code,label_de,label_fr,label_it,label_en
08d3369f-3515-4df8-bc90-382e2967bc80,11101001,111,Bergbauer,Paysan de montagne,Contadino di montagna,Mountain farmer
c960d7a0-0e32-4292-985b-bcc42da2096a,11101002,111,Kleinbauer,Petit agriculteur,Contadino (piccolo proprietario rurale),Small farmer
f51c6f63-3f80-44f5-bcd8-9857f9c15b6d,11101003,111,Bauer,Paysan,Contadino,Farmer
6db6e6d7-119b-4727-aa8f-fbb64f8f87e7,11101004,111,Landwirt,Agriculteur,Agricoltore,
64f69018-1c30-4a61-bd3c-ee883b0ecbef,11101005,111,P_chter,Fermier,Fittavolo,Tenant
37791d3a-5b8f-43df-ac95-af69752f456d,11101007,111,Landwirtschaftlicher Produzent,Producteur agricole,Coltivatore agricolo,
f8c6ed7f-24de-432b-b43e-e548eaa57d9b,11101008,111,Landwirt-Viehz�chter,Agriculteur-_leveur de b_tail,Agricoltore allevatore di bestiame,Livestock producer
cfb8c1b4-f2ca-4395-b081-f8ef7d1fdd4a,11101009,111,Betriebshelfer,Aide d'exploitation agricole,Aiutante d'azienda agricola,
053bcfe4-7d6f-457d-afa4-35f05feb47f3,11101010,111,"Landwirt, Meister HFP","Agriculteur, ma�tre EPS","Agricoltore, maestro EPS",
471a28f0-ddb5-4ea0-be24-cea94fd2acc0,11101011,111,Betriebshelfer,Aide d'exploitation agricole,Bracciante agricolo,
0ef0bd8c-4055-4293-8250-732e3077a98e,11101012,111,"Bauer, dipl., eidg. FA",Paysan dipl�m_ EP,Massaio rurale dipl. APF,
33ea5d34-2e30-468b-b666-bbdddb9c8607,11101013,111,Landwirt/Gastwirt,Paysan/Restaurateur,Agricoltore/Esercente,Farmer/landlord
9c88f994-8f9e-448f-8f03-8e903d579ac0,11101014,111,Landwirtschaftlicher Betriebs- und Dorfhelfer,Vulgarisateur agricole,Consulente e collaboratore agricolo,
