"postal_code","job_center_code"
1000,VDB10
1001,VDB10
1002,VDB10
1003,VDB10
1004,VDB10
1005,VDB10
1006,VDB10
1007,VDB10
1008,VDC10
1009,VDQ10
1010,VDB10
1011,VDB10
1012,VDB10
1014,VDB10
1015,VDL10
1017,VDB10
1018,VDB10
1019,VDB10
1020,VDL10
1022,VDL10
1023,VDL10
1024,VDL10
1025,VDL10
1026,VDJ10
1027,VDJ10
1028,VDJ10
1029,VDL10
1030,VDL10
1031,VDC10
1032,VDC10
1033,VDC10
1034,VDC10
1035,VDC10
1036,VDC10
1037,VDC10
1038,VDC10
1039,VDC10
1040,VDC10
1041,VDC10
1042,VDC10
1043,VDC10
1044,VDC10
1045,VDC10
1046,VDU10
1047,VDU10
1052,VDC10
1053,VDC10
1054,VDC10
1055,VDC10
1058,VDC10
1059,VDC10
1061,VDC10
1062,VDC10
1063,VDC10
1066,VDQ10
1068,VDQ10
1070,VDQ10
1071,VDQ10
1072,VDQ10
1073,VDQ10
1076,VDQ10
1077,VDQ10
1078,VDQ10
1080,VDQ10
1081,VDQ10
1082,VDQ10
1083,VDQ10
1084,VDQ10
1085,VDQ10
1088,VDQ10
1090,VDQ10
1091,VDQ10
1092,VDQ10
1093,VDQ10
1094,VDQ10
1095,VDQ10
1096,VDQ10
1097,VDQ10
1098,VDQ10
1110,VDJ10
1112,VDJ10
1113,VDJ10
1114,VDJ10
1115,VDJ10
1116,VDJ10
1117,VDJ10
1121,VDJ10
1122,VDJ10
1123,VDJ10
1124,VDJ10
1125,VDJ10
1126,VDJ10
1127,VDJ10
1128,VDJ10
1131,VDJ10
1132,VDJ10
1134,VDJ10
1135,VDJ10
1136,VDJ10
1141,VDJ10
1142,VDJ10
1143,VDJ10
1144,VDJ10
1145,VDJ10
1146,VDJ10
1147,VDJ10
1148,VDU10
1149,VDJ10
1162,VDJ10
1163,VDJ10
1164,VDJ10
1165,VDJ10
1166,VDV10
1167,VDJ10
1168,VDJ10
1169,VDJ10
1170,VDJ10
1172,VDJ10
1173,VDJ10
1174,VDJ10
1175,VDJ10
1176,VDJ10
1180,VDV10
1182,VDV10
1183,VDV10
1184,VDV10
1185,VDV10
1186,VDV10
1187,VDJ10
1188,VDJ10
1189,VDJ10
1195,VDV10
1196,VDV10
1197,VDV10
1200,GEAP0
1201,GEAP0
1202,GEAP0
1203,GEAP0
1204,GEAP0
1205,GEAP0
1206,GEAP0
1207,GEAP0
1208,GEAP0
1209,GEAP0
1211,GEAP0
1212,GEAP0
1213,GEAP0
1214,GEAP0
1215,GEAP0
1216,GEAP0
1217,GEAP0
1218,GEAP0
1219,GEAP0
1220,GEAP0
1222,GEAP0
1223,GEAP0
1224,GEAP0
1225,GEAP0
1226,GEAP0
1227,GEAP0
1228,GEAP0
1231,GEAP0
1232,GEAP0
1233,GEAP0
1234,GEAP0
1236,GEAP0
1237,GEAP0
1239,GEAP0
1240,GEAP0
1241,GEAP0
1242,GEAP0
1243,GEAP0
1244,GEAP0
1245,GEAP0
1246,GEAP0
1247,GEAP0
1248,GEAP0
1251,GEAP0
1252,GEAP0
1253,GEAP0
1254,GEAP0
1255,GEAP0
1256,GEAP0
1257,GEAP0
1258,GEAP0
1260,VDV10
1261,VDV10
1262,VDV10
1263,VDV10
1264,VDV10
1265,VDV10
1266,VDV10
1267,VDV10
1268,VDV10
1269,VDV10
1270,VDV10
1271,VDV10
1272,VDV10
1273,VDV10
1274,VDV10
1275,VDV10
1276,VDV10
1277,VDV10
1278,VDV10
1279,VDV10
1281,GEAP0
1283,GEAP0
1284,GEAP0
1285,GEAP0
1286,GEAP0
1287,GEAP0
1288,GEAP0
1289,GEAP0
1290,GEAP0
1291,VDV10
1292,GEAP0
1293,GEAP0
1294,GEAP0
1295,VDV10
1296,VDV10
1297,VDV10
1298,GEAP0
1299,VDV10
1302,VDC10
1303,VDC10
1304,VDJ10
1305,VDC10
1306,VDC10
1307,VDC10
1308,VDJ10
1312,VDJ10
1313,VDJ10
1315,VDJ10
1316,VDJ10
1317,VDJ10
1318,VDJ10
1321,VDU10
1322,VDU10
1323,VDU10
1324,VDU10
1325,VDU10
1326,VDU10
1329,VDU10
1337,VDU10
1338,VDU10
1341,VDU10
1342,VDU10
1343,VDU10
1344,VDU10
1345,VDU10
1346,VDU10
1347,VDU10
1348,VDU10
1350,VDU10
1352,VDU10
1353,VDU10
1354,VDU10
1355,VDU10
1356,VDU10
1357,VDU10
1358,VDU10
1372,VDU10
1373,VDU10
1374,VDU10
1375,VDC10
1376,VDC10
1377,VDC10
1400,VDU10
1401,VDU10
1404,VDU10
1405,VDU10
1406,VDU10
1407,VDU10
1408,VDU10
1409,VDU10
1410,VDC10
1412,VDU10
1413,VDU10
1415,VDU10
1416,VDC10
1417,VDC10
1418,VDC10
1420,VDU10
1421,VDU10
1422,VDU10
1423,VDU10
1424,VDU10
1425,VDU10
1426,VDU10
1427,VDU10
1428,VDU10
1429,VDU10
1430,VDU10
1431,VDU10
1432,VDU10
1433,VDU10
1434,VDU10
1435,VDU10
1436,VDU10
1437,VDU10
1438,VDU10
1439,VDU10
1440,VDU10
1441,VDU10
1442,VDU10
1443,VDU10
1445,VDU10
1446,VDU10
1450,VDU10
1452,VDU10
1453,VDU10
1454,VDU10
1462,VDU10
1463,VDU10
1464,VDU10
1468,FRF40
1470,FRF40
1473,FRF40
1474,FRF40
1475,FRF40
1482,FRF40
1483,FRF40
1484,FRF40
1485,FRF40
1486,FRF40
1489,FRF40
1509,VDQ10
1510,VDQ10
1512,VDQ10
1513,VDQ10
1514,VDQ10
1515,VDQ10
1521,VDQ10
1522,VDQ10
1523,VDW10
1524,VDW10
1525,VDW10
1526,VDQ10
1527,FRF40
1528,FRF40
1529,FRF40
1530,VDW10
1532,FRF40
1533,FRF40
1534,VDW10
1535,VDW10
1536,VDW10
1537,VDW10
1538,VDW10
1541,FRF40
1542,FRF40
