id,code,email,phone,fax,show_contact_details_to_public
"6ff2b62a-3e2d-4ab9-841d-c3cee08fb65a","SGA10","info.vdawa@sg.ch","+41582293547","+41582292203","FALSE"
"55cd1066-1e9b-4708-90ac-f0dc1bf11fe3","SGA20","info.vdawa@sg.ch","+41582294761","+41582294775","FALSE"
"8c0a8f16-55b6-4745-9f1e-ed3968d92af6","SGB10","info.ravstg@sg.ch","+41582292535",,"FALSE"
"456d9800-7385-4751-bf5d-2454c67fd9a1","SGO10","info.ravobu@sg.ch","+41582299393","+41582299383","FALSE"
"687983e2-5e53-4c93-ac71-12181fc33f5a","SGP10","info.ravsar@sg.ch","+41582298268","+41438881779","FALSE"
"fc0ed4ed-3c81-4ea0-8218-4e3502ac36af","SGQ10","info.ravher@sg.ch","+41582299777","+41582299767","FALSE"
"ae098b2e-b0cb-4a87-80c4-b75ba031b835","SGR10","info.ravrap@sg.ch","+41582297656",,"FALSE"
"107bbc24-2a48-4c86-84f7-d04b26e1d134","SGT10","info.ravwat@sg.ch","+41582299171","+41582299181","FALSE"
"c46be4b8-49bf-4e23-91ef-43202d644ae9","SHA10","arbeitsamt@ktsh.ch","+41526327262","+41526327723","FALSE"
"b4ad1a6a-35a7-4c9a-84b7-3ed42f96dbfc","SHA20","rav@ktsh.ch","+41526327024","+41526327023","FALSE"
"afe48545-0197-4390-b30f-52efbfd0e774","SHA30","lam@ktsh.ch","+41526327469","+41526327723","FALSE"
"b6f39918-1e2c-40b6-8f73-6ed9ed499f25","SHA40","kast@ktsh.ch","+41526327839","+41526327723","FALSE"
"10290044-7c87-476e-8618-240e9f6cf660","SOAA0","rav.olten@awa.so.ch","+41623112960","+41623112950","FALSE"
"050040c0-5453-4470-b93f-a5a444280778","SOAB0","rav.solothurn@awa.so.ch","+41326279611","+41326279600","FALSE"
"0570bab9-904a-43a1-b08a-88f152136397","SOAH0",,"+41622873339","+41622873334","FALSE"
"1d593b60-cba3-4ae8-afdd-faf8c0ad7eb4","SOA10","awa@awa.so.ch","+41326279411","+41326279590","FALSE"
"cb193546-da12-4c5d-a51e-d7ecd83cfb1c","SOA30","rav.solothurn@awa.so.ch","+41326279611","+41326279600","FALSE"
"406b021f-61b6-4947-a3ac-245a4df3d81c","SOA40","rav.olten@awa.so.ch","+41623119200","+41623119210","FALSE"
"7a3f1f02-1445-4849-9fa8-10afa22d1157","SOA90","rav.plus@awa.so.ch","+41326278561","+41326278551","FALSE"
"aff9b449-422f-4137-81f2-da19cf6556d2","SZA10","afa@sz.ch","+41418191124","+41418191629","FALSE"
"23ac1b50-b3ce-4c47-a2cc-c31194ca5534","SZA20","ravgoldau.vd@sz.ch","+41418590919","+41418590929","FALSE"
"0862f306-453b-4f27-8fd0-7f3a729925aa","SZA30","ravlachen.vd@sz.ch","+41554516020","+41554516030","FALSE"
"ee8752ac-c94c-4c0a-8d10-81699ba5a7c7","TGA10","daniel.wessner@tg.ch","+41583455407","+41583455401","FALSE"
"b4331586-2f1f-4105-8d44-03638c5d82f8","TGA30",,"+41583451745","+41583451746","FALSE"
"d9fdc078-494f-4c9b-92f8-b1d433693bb3","TGA40","marcel.schaer@tg.ch","+41583455570","+41583455571","FALSE"
"21848b42-f210-4adf-977b-045878aa67c3","TGA50",,"+41583455580","+41583455621","FALSE"
"2cb88e22-6ef5-4ba9-8bab-f480348a5c94","TGO10","rav.frauenfeld@tg.ch","+41583455520","+41583455521","FALSE"
"e29a174b-7348-4179-95dd-17b4a07c6f7c","TGP10","rav.kreuzlingen@tg.ch","+41583455580","+41583455581","FALSE"
"a9ffcdd4-17a8-43fc-8252-782bf412c14e","TGQ10","rav.amriswil@tg.ch","+41583451745","+41583451746","FALSE"
"c44f8101-d04c-40a8-9f15-b40d20ced451","URA10","markus.indergand@ur.ch","+41418752418","+41418752437","FALSE"
"4e1a24d2-f2d1-4e96-a7d8-875071679c64","URA20","peter.marent@ur.ch","+41418752439","+41418752437","TRUE"
