"ID","CODE","TYPE","LANGUAGE","CLASSIFIER","LABEL"
"d9631909-59ee-4123-b872-16835d03280a","111","sbn3","de","","Berufe der Landwirtschaft"
"f1d4e890-0e9f-48ff-8243-9617567b01ba","111","sbn3","fr","","Professions de l'agriculture"
"7e3ca772-fa72-4f8c-96d7-bde277e36cd6","111","sbn3","it","","Professioni dell'agricoltura"
"e2a11713-467e-4d73-8859-0be74c48f9a5","111","sbn3","en","","Agricultural occupations"
"43c1126c-7862-468c-b5b9-234ba8eeb58f","11101","sbn5","de","","Landwirte/Landwirtinnen, Bauern/Bäuerinnen"
"6fb65835-d52c-415f-b3d2-1d682de43e07","11101","sbn5","fr","","Agriculteurs"
"15e8d6e7-0786-4242-83bd-955812f054a5","11101","sbn5","it","","Agricoltori, contadini"
"58deb54e-3b56-4d51-aa8d-3458066a3445","11101","sbn5","en","","Agriculturists, farmers"
"d5b6e21e-0548-448b-aca7-5f5bbc5890b1","11102","sbn5","de","","Landwirtschaftliche Gehilfen/Gehilfinnen"
"ef969e20-f8a8-450d-95ef-2c4c2c75ea07","11102","sbn5","fr","","Aides agricoles"
"0695a95e-b24b-484f-961a-af6e49abc3e3","11102","sbn5","it","","Aiuti agricoli"
"20e233a0-5fc9-4383-ac2a-28c44393f609","11102","sbn5","en","","Agricultural assistants"
"124202ac-c686-42b4-8b30-515433dae417","11103","sbn5","de","","Sonstige landwirtschaftliche Berufe"
"15c92a58-c746-4241-bed6-f83ba8327a60","11103","sbn5","fr","","Autres professions de l'agriculture"
"1d174e58-0800-4f7f-820c-8123fbc20b4b","11103","sbn5","it","","Altre professioni dell'agricoltura"
"4c713f5a-b204-45dd-9d96-31897bf946b6","11103","sbn5","en","","Other agricultural occupations"
"1a69dd1c-defc-4c69-84c1-f543cfb9dc1c","112","sbn3","de","","Landwirtschaftliche Spezialberufe"
"e9593352-a888-4139-8e59-dd0ca820bc95","112","sbn3","fr","","Professions spéciales dans le secteur de l'agriculture"
"f8c0e85c-7041-469f-86f6-fa2191b4385d","112","sbn3","it","","Professioni specializzate dell'agricoltura"
"4560dd0d-e6bc-49b1-bf3a-540695c3a501","112","sbn3","en","","Specialised agricultural occupations"
"404df231-bfbc-45f2-a517-817a315e954e","11201","sbn5","de","","Obstbauern/-bäuerinnen"
"f34c46a0-5858-4d73-9e21-3c25263f8d93","11201","sbn5","fr","","Arboriculteurs"
"77c09892-e850-4005-9ae6-532e5a2211be","11201","sbn5","it","","Frutticoltori"
"9f404803-e713-4582-b0f7-625bb2982aa2","11201","sbn5","en","","Fruit growers"
"b3b87016-7698-40fe-af8c-9daf8251871d","11202","sbn5","de","","Rebbauern/-bäuerinnen"
"a70b6503-aec4-4af5-9f67-71b530801acd","11202","sbn5","fr","","Viticulteurs"
